review_id,bank,rating,review_text,date,source,sentiment_label,sentiment_score,vader_score,textblob_score,keywords,themes
0,CBE,4,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",2025-06-05,Google Play,POSITIVE,0.25595,0.6369,-0.125,"['why', 'don', 'your', 'atms', 'support', 'account', 'account', 'transfers', 'like', 'other', 'countries', 'kenya', 'nigeria', 'south', 'africa']","['Account Access Issues', 'Transaction Performance', 'Customer Support']"
1,CBE,1,what is this app problem???,2025-06-05,Google Play,NEGATIVE,0.25035,-0.5007,0.0,"['what', 'this', 'app', 'problem']",['User Interface & Experience']
2,CBE,5,the app is proactive and a good connections.,2025-06-05,Google Play,POSITIVE,0.6954,0.6908,0.7,"['app', 'proactive', 'good', 'connections']",['User Interface & Experience']
3,CBE,3,I cannot send to cbebirr app. through this app.,2025-06-05,Google Play,NEUTRAL,0.0,0.0,0.0,"['cannot', 'send', 'cbebirr', 'app', 'through', 'this', 'app']","['Transaction Performance', 'User Interface & Experience']"
4,CBE,4,good,2025-06-05,Google Play,POSITIVE,0.5702,0.4404,0.7,['good'],[]
5,CBE,1,not functional,2025-06-04,Google Play,NEUTRAL,0.0,0.0,0.0,"['not', 'functional']",['Feature Requests']
6,CBE,1,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",2025-06-04,Google Play,POSITIVE,0.20403333333333334,0.1739,0.23416666666666666,"['everytime', 'you', 'uninstall', 'app', 'you', 'have', 'reach', 'them', 'out', 'physically', 'very', 'oldy', 'that', 'one', 'security', 'layer', 'they', 'check', 'fraud', 'attempt', 'via', 'app', 'source', 'directly', 'source', 'app', 'store', 'play', 'store', 'etc', 'implicitly', 'are', '2025', 'physical', 'presence', 'every', 'app', 'install', 'traditional', 'traditionally', 'very', 'rare']","['Account Access Issues', 'User Interface & Experience']"
7,CBE,4,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,2025-06-04,Google Play,NEUTRAL,0.0,0.0,0.0,"['አካውንት', 'የምናስገባበት', 'ጽፈን', 'ከዚህ', 'በፊት', 'የላክንባቸውን', 'አካዉንቶች', 'የምንፈልገዉ', 'ነገር', 'አዲስ', 'አካውንቶች', 'ብለዉ', 'የሚጀምሩ', 'በዝተዋል', 'አፕልኬሽኑ', 'space', 'ስንጽፍ', 'አይቀበልም', 'ቢስተካከል']",[]
8,CBE,5,best,2025-06-04,Google Play,POSITIVE,0.81845,0.6369,1.0,['best'],[]
9,CBE,5,bezabih,2025-06-04,Google Play,NEUTRAL,0.0,0.0,0.0,['bezabih'],[]
10,CBE,5,Best Mobile Banking app ever,2025-06-04,Google Play,POSITIVE,0.81845,0.6369,1.0,"['best', 'mobile', 'banking', 'app', 'ever']",['User Interface & Experience']
11,CBE,5,good,2025-06-04,Google Play,POSITIVE,0.5702,0.4404,0.7,['good'],[]
12,CBE,2,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2025-06-04,Google Play,POSITIVE,0.5648785714285715,0.6369,0.4928571428571428,"['was', 'good', 'app', 'have', 'some', 'issues', 'like', 'doesnt', 'give', 'right', 'amount', 'that', 'have', 'bank', 'have', 'some', 'issues', 'transferring']","['Transaction Performance', 'User Interface & Experience']"
13,CBE,5,good,2025-06-04,Google Play,POSITIVE,0.5702,0.4404,0.7,['good'],[]
14,CBE,5,Good,2025-06-04,Google Play,POSITIVE,0.5702,0.4404,0.7,['good'],[]
15,CBE,5,👌👍,2025-06-04,Google Play,POSITIVE,0.36485,0.7297,0.0,[],[]
16,CBE,5,very niec,2025-06-04,Google Play,POSITIVE,0.1,0.0,0.2,"['very', 'niec']",[]
17,CBE,5,best app of finance,2025-06-03,Google Play,POSITIVE,0.81845,0.6369,1.0,"['best', 'app', 'finance']",['User Interface & Experience']
18,CBE,1,yetemeta,2025-06-03,Google Play,NEUTRAL,0.0,0.0,0.0,['yetemeta'],[]
19,CBE,5,Engida Kebede Fetera,2025-06-03,Google Play,NEUTRAL,0.0,0.0,0.0,"['engida', 'kebede', 'fetera']",[]
20,CBE,5,good,2025-06-03,Google Play,POSITIVE,0.5702,0.4404,0.7,['good'],[]
21,CBE,1,it is not safety,2025-06-02,Google Play,NEGATIVE,0.1626,-0.3252,0.0,"['not', 'safety']",[]
22,CBE,5,NICE bank,2025-06-02,Google Play,POSITIVE,0.57365,0.5473,0.6,"['nice', 'bank']",[]
23,CBE,1,it is like a childish app make it better the worst I have ever seen,2025-06-02,Google Play,NEGATIVE,0.22981666666666667,-0.2263,-0.2333333333333333,"['like', 'childish', 'app', 'make', 'better', 'worst', 'have', 'ever', 'seen']",['User Interface & Experience']
24,CBE,5,"It's a problem solver application, go ahead CBE, I love so much.",2025-06-02,Google Play,POSITIVE,0.3556,0.3612,0.35,"['problem', 'solver', 'application', 'ahead', 'cbe', 'love', 'much']",['User Interface & Experience']
25,CBE,4,It's good but try to make it facilitate for your client,2025-06-01,Google Play,POSITIVE,0.46909999999999996,0.2382,0.7,"['good', 'try', 'make', 'facilitate', 'your', 'client']",[]
26,CBE,5,best app,2025-06-01,Google Play,POSITIVE,0.81845,0.6369,1.0,"['best', 'app']",['User Interface & Experience']
27,CBE,5,Awesome bank,2025-06-01,Google Play,POSITIVE,0.81245,0.6249,1.0,"['awesome', 'bank']",[]
